"Land";"Diplom";"Club";"K/L";"Bemerkung";"DB Seite";"ID"
"LU";"101 Award";;"L";"neue Adresse S. 2076";446;1290
"LU";"Certificado Antartico";;"L";"neue Adresse S. 2076";446;1456
"LU";"Cinco Continentes";;"L";"neue Adresse S. 2076";446;1467
"LU";"Radio Club Argentina - Diplomprogramm";"RCA";"B";"Seite 1021 - neue Adresse S. 2076";446;1986
"LU";"Todos Paises America";;"L";"(RB32) - neue Adresse S. 2076";446;2151
"LU";"Certificadi Argentina";;"L";"neue Adresse S. 2076";447;1457
"LU";"Certificado Mobiles Argentina";;"L";"neue Adresse S. 2076";447;1459
"LU";"Certificado Mobiles Armada";;"L";"neue Adresse S. 2076";447;1460
"LU";"LU 10 Doble Letras";;"L";"neue Adresse S. 2076";447;1834
"LU";"Republica Argentino Award";;"L";"neue Adresse S. 2076";447;2001
"PY";"CWGO Award";;"L";"QRT ???";448;1499
"LU";"Toda Republica Argentina";;"L";"neue Adresse S. 2076";448;2150
"KL7";"Alaska Forty-Niner";;"L";"Seite 1097: QRT";449;1353
"VK6";"Hainults Award";;"L";;449;1714
"F";"Diplôme des URC";;"L";"QRT 2000";450;1585
"J28";"Diplôme J28";;"L";;451;1588
"ON";"Belgian Railroad Award";;"L";"Seite 1369 - Zusatzinfo";452;661
"PY";"WIPA";;"L";"(RB35)";452;2320
"OA";"OA1 Award";;"L";;454;1904
"F";"Region Parisienne Award";;"L";"Seite 1064 - QRT";454;1998
"JA";"JA Osaka CC";;"L";"auch S. 325/344";455;1779
"JA";"10 x 6 Award";;"L";;457;1282
"I";"New RCCI DX Award";;"L";"(RB38/39)";459;1885
"VE";"Worked all QST Award";;"L";"QRT 2002";459;2222
